,venue,Team,Opposition,Over Number,Ball Number,current_run,run_rate,wickets_left,runs_till_5_over,score
44,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,12,3,77.0,6.16,7.0,33.0,133.0
45,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,12,4,77.0,6.078947368421052,7.0,33.0,133.0
46,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,12,5,77.0,6.0,6.0,33.0,133.0
47,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,12,6,78.0,6.0,6.0,33.0,133.0
48,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,13,1,79.0,6.0,6.0,33.0,133.0
49,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,13,2,80.0,6.0,6.0,33.0,133.0
50,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,13,3,80.0,5.925925925925926,6.0,33.0,133.0
51,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,13,4,81.0,5.926829268292683,6.0,33.0,133.0
52,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,13,5,81.0,5.855421686746988,6.0,33.0,133.0
53,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,13,6,82.0,5.857142857142857,6.0,33.0,133.0
56,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,14,1,86.0,6.070588235294117,6.0,33.0,133.0
57,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,14,2,86.0,6.0,6.0,33.0,133.0
58,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,14,3,90.0,6.206896551724139,6.0,33.0,133.0
59,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,14,4,94.0,6.409090909090908,6.0,33.0,133.0
60,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,14,5,95.0,6.404494382022472,6.0,33.0,133.0
61,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,14,6,95.0,6.333333333333334,6.0,33.0,133.0
62,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,15,1,95.0,6.263736263736265,6.0,33.0,133.0
63,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,15,2,97.0,6.326086956521739,6.0,33.0,133.0
64,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,15,3,97.0,6.258064516129032,6.0,33.0,133.0
65,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,15,4,98.0,6.25531914893617,6.0,33.0,133.0
66,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,15,5,99.0,6.252631578947367,6.0,33.0,133.0
67,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,15,6,99.0,6.1875,6.0,33.0,133.0
68,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,16,1,100.0,6.185567010309278,6.0,33.0,133.0
69,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,16,2,102.0,6.244897959183674,6.0,33.0,133.0
70,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,16,3,102.0,6.181818181818182,6.0,33.0,133.0
71,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,16,4,108.0,6.48,6.0,33.0,133.0
72,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,16,5,108.0,6.415841584158416,5.0,33.0,133.0
73,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,16,6,109.0,6.411764705882353,5.0,33.0,133.0
74,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,17,1,110.0,6.407766990291262,5.0,33.0,133.0
75,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,17,2,111.0,6.403846153846153,5.0,33.0,133.0
76,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,17,3,112.0,6.4,5.0,33.0,133.0
77,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,17,4,113.0,6.39622641509434,5.0,33.0,133.0
78,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,17,5,114.0,6.392523364485981,5.0,33.0,133.0
79,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,17,6,114.0,6.333333333333334,5.0,33.0,133.0
80,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,18,1,114.0,6.275229357798165,5.0,33.0,133.0
81,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,18,2,116.0,6.327272727272726,5.0,33.0,133.0
82,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,18,3,116.0,6.27027027027027,5.0,33.0,133.0
83,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,18,4,122.0,6.535714285714285,5.0,33.0,133.0
84,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,18,5,123.0,6.530973451327434,5.0,33.0,133.0
85,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,18,6,123.0,6.473684210526316,5.0,33.0,133.0
86,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,19,1,127.0,6.626086956521739,5.0,33.0,133.0
87,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,19,2,128.0,6.620689655172414,5.0,33.0,133.0
88,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,19,3,129.0,6.615384615384616,5.0,33.0,133.0
89,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,19,4,130.0,6.610169491525424,5.0,33.0,133.0
90,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,19,5,131.0,6.605042016806723,5.0,33.0,133.0
91,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,19,6,133.0,6.65,5.0,33.0,133.0
92,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,5,1,29.0,5.612903225806451,8.0,29.0,186.0
93,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,5,2,29.0,5.4375,8.0,29.0,186.0
94,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,5,3,33.0,6.0,8.0,29.0,186.0
95,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,5,4,34.0,6.0,8.0,29.0,186.0
96,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,5,5,35.0,6.0,8.0,29.0,186.0
97,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,5,6,36.0,6.0,8.0,29.0,186.0
98,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,6,1,36.0,5.837837837837839,8.0,29.0,186.0
99,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,6,2,37.0,5.842105263157895,8.0,29.0,186.0
100,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,6,3,41.0,6.307692307692308,8.0,29.0,186.0
101,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,6,4,42.0,6.300000000000001,8.0,29.0,186.0
102,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,6,5,46.0,6.731707317073171,8.0,29.0,186.0
103,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,6,6,48.0,6.857142857142857,8.0,29.0,186.0
105,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,7,1,50.0,6.976744186046512,8.0,29.0,186.0
106,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,7,2,50.0,6.818181818181818,8.0,29.0,186.0
107,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,7,3,51.0,6.8,8.0,29.0,186.0
108,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,7,4,51.0,6.6521739130434785,8.0,29.0,186.0
109,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,7,5,51.0,6.51063829787234,8.0,29.0,186.0
110,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,7,6,52.0,6.5,8.0,29.0,186.0
111,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,8,1,56.0,6.857142857142857,8.0,29.0,186.0
112,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,8,2,57.0,6.84,8.0,29.0,186.0
113,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,8,3,58.0,6.823529411764706,8.0,29.0,186.0
114,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,8,4,59.0,6.8076923076923075,8.0,29.0,186.0
115,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,8,5,60.0,6.7924528301886795,8.0,29.0,186.0
116,"Gaddafi Stadium, Lahore",Multan Sultans,Lahore Qalandars,8,6,61.0,6.777777777777777,8.0,29.0,186.0
